,Title,Date,Number of Comments,Number of Views
118,   משרד המסחר והתעשייה הכוויתי קורא לציבור לקחת חלק במאמץ הלאומי לאתר כל סממן של הקהילה הגאה במדינה,"פיטנגו
06/20/2022",24,7604
119,"   בלב ירושלים: מסיבת שחרור למחבל שישב בכלא הישראלי, בהשתתפות פעילי שמאל","מתיישב יהודי
06/20/2022",35,13381
120,   ''חילופי מהלומות'' בטוויטר בנושא הגז בין רה''מ לשעבר נתניהו לרה''מ החליפי לפיד ושרת האנרגיה אלהרר,"טוק דוגרי
06/20/2022",97,21181
121,   הפלסטיני שצד 120 צבאים שוב נתפס. אך האם יזכה לעונש משמעותי?,"the hawk
06/20/2022",32,12022
122,   זלנסקי: רוסיה צפויה להגביר את התקיפות על אוקראינה,"Goldfinger
06/20/2022",21,7580
123,   עקב מעבר מטען חורג יתבצעו חסימות מנמל אשדוד ועד צומת בית דגן ביום שלישי בשעה 22:00,"פרש טורקי
06/20/2022",11,5808
124,   הזרוע הצבאית של חמאס מודיעה לפני זמן קצר כי מחר תסגור את המרחב הימי לסירות דיג פלסטיניות בגלל תמרון ימי,"עולם קטן
06/20/2022",2,3210
125,   ההערכה בקואליציה: אורבך ייתן לבנט עוד שבוע,"נורליק
06/20/2022",53,17729
126,   ים המלח: אלמוני נכנס לחדר במלון וגנב רכוש של האורחות בחדר,"דפורמביל
06/20/2022",51,22413
127,   קולומביה : גוסטבו פטרו ניצח בבחירות ויהיה הנשיא מהשמאל הראשון במדינה,"סנפר
06/20/2022",8,2464
128,"   צעיר בן 21, לוחם בתפקידו, הגיע בסוף השבוע האחרון למועדון הפורום בבאר שבע וסורב להיכנס.","דבש ועוקץ
06/20/2022",42,19321
129,   כדור גולף פגע בראשו... טראמפ פרסם סרטון הלועג לנפילתו של ביידן מהאופניים,"intelligent
06/20/2022",107,21330
130,"   גרמניה תחל להפעיל מחדש תחנות כוח מבוססות פחם, ואף תציע תמריצים לחברות להשתמש בפחות גז טבעי","תשבץ
06/20/2022",27,6941
131,"   ספרד: מפלה קשה למפלגת השלטון הסוציאליסטית של ספרד, בבחירות האזוריות באנדלוסיה","פיטנגו
06/20/2022",3,2109
132,   הבמאי והתסריטאי זוכה האוסקר פול האגיס נעצר באיטליה לאחר שאישה התלוננה נגדו שתקף אותה מינית,"עולם קטן
06/20/2022",2,1151
133,   צפו בתמונות המרגשות: איציק סעידיאן בהופעה פומבית ראשונה,"פורטרט
06/20/2022",37,22317
134,"   כפר מנדא: קטטה פרצה בין צעירים, כולל השלכת אבנים ואלות. למקום הוזעקו כוחות משטרה","Lanki
06/20/2022",6,1004
135,   בנט אמר לשותפיו כי כי העלאת החוק לאיסור כהונת נאשם כראש ממשלה תוביל מיד לנפילת הממשלה,"Pierre
06/20/2022",34,13393
136,   היסתדרות המורים:הלימודים מתחילים גם מחר ב10:0-0 20.06.2022,"blackjack
06/20/2022",39,9969
137,   עפ''י סקר פנימי של המשותפת בקרב הציבור הערבי היא מקבלת כיום 6 מנדטים ורע״מ לא עוברת אחוז החסימה,"doroneli
06/20/2022",35,8524
138,"   למרות שאין ודאות מכיוון אורבך, באופוזיציה החליטו לשים את החוק לפיזור הכנסת על סדר היום","Pierre
06/20/2022",23,3670
139,   מאבק משטרת ישראל וצה''ל בנגע הסמים המסוכנים בשטחי האש- הושמדו 42 מתחמים אשר נחשדו כשטחי גידול מריחואנה,"elbaz
06/20/2022",11,3924
140,   רה''מ הפלסטיני: ''לא רק שלא נעביר לישראל את הקליע - אנחנו דורשים שהיא תעביר אלינו את הרובה שחיסל אותה'',"פיטנגו
06/19/2022",56,12969
141,   עודד קטש מונה למאמן מכבי תל אביב,"חדש בערך
06/19/2022",56,9359
142,   אתיופיה: עדי ראייה מדווחים על יותר מ-200 הרוגים במתקפה על רקע אתני,"יוסריאן
06/19/2022",14,5293
143,   אחרי שנתיים בצל הקורונה: תלמידי יפן יוכלו שוב לדבר בארוחת הצהריים בבית הספר,"intelligent
06/19/2022",14,6052
144,   מגדל התצפית מול נתיב העשרה לא הושמד - כדי לא להרוג אנשי חמאס ולהביא להסלמה,"Lanki
06/19/2022",41,10437
145,   הצי ההודי יתחיל לגייס נשים מלחיות בפעם הראשונה כבר השנה,"Pierre
06/19/2022",4,917
146,   ווינט: פרסום ראשון | שלושה גופים מתעניינים ברכישת בית''ר ירושלים,"erezbt
06/19/2022",25,9638
147,   על רקע הכוונה לאחד כיתות לימוד בשנה הבאה: ''מחאת הסרדינים'' חוזרת,"עולם קטן
06/19/2022",1,1123
148,   אליאור לוי: בתקיפה בשבת ברצועה הופצץ אתר משמעותי מאוד של חמאס,"גדותן
06/19/2022",39,20786
149,"   סגן ראש ממשלת רוסיה אישר שהצבא הרוסי הכניס למערכה באוקראינה בימים האחרונים את מטוס הקרב סוחוי-57,","המוזיקאי
06/19/2022",27,21131
150,   גל ההתייקרויות נמשך: מחיר החלב צפוי לעלות החל מה-1 ביולי בשיעור של כ-13.5%,"עולם קטן
06/19/2022",58,15030
151,   ימים גורליים לממשלה | אורבך לא מתחייב לליכוד שיתמוך בפיזור הכנסת - וטוען כי מנסה לגבש ממשלה חלופית,"פיטנגו
06/19/2022",21,6509
152,   דובר צבא מצרים הודיע שמטוס קרב התרסק במדינה בעת אימון,"שולחן עבודה
06/19/2022",1,482
153,"   יואב אבן: יעקב חבה, תוקף הרופאה בבאר יעקב, כבר תקף בעבר רוקחים בקופ''ח מאוחדת","doroneli
06/19/2022",11,3055
154,   רוסיה החלה להפעיל את החמקן מתוצרתה Su-57 במערכה באוקראינה,"דיווח מיוחד
06/19/2022",33,13650
155,   בצל ניסיונות הפיגועים- שר החוץ לפיד יבקר בטורקיה ביום חמישי | ייפגש עם מקבילו הטורקי,"פטריוט שמאלני
06/19/2022",21,3386
156,"   תיעוד: ספינה שטבעה לפני כ-300 שנה ליד קולומביה, ובה אוצר בשווי מיליארדים","פיניקית
06/19/2022",24,24693
157,   ירדן מתייבשת: מחסור חמור במים צפוי בממלכה האשמית,"JCPA2017
06/19/2022",107,22018
158,   ''איבדנו את הביטחון'': גל אירועי השוד בתחנות הדלק בדרום נמשך - והעסקים מתקשים לגייס עובדים,"נורליק
06/19/2022",13,3190
159,   מחשש לירי צלפים וטילי נ''ט על רכבים והולכי רגל בנתיב העשרה - הוחלט להזיז את שער הכניסה ליישוב כקילומטר מזרחה,"יחיעם
06/19/2022",47,9082
160,   ראשי הערים בעמק יזרעאל דורשים: ''שדה תעופה בינלאומי אצלנו'',"Goldfinger
06/19/2022",72,19266
161,   המסמך של משרד הביטחון נגד 'שוברים שתיקה': ''לא ראוי שמכינה תקיים פעילות עם ארגון המבקר את ישראל'',"פורטרט
06/19/2022",8,1497
