,Title,Date,Number of Comments,Number of Views
2433,   הליכוד: ראש מועצת יש''ע אלחיאני הוא האחרון להטיף מוסר לראש הממשלה לשעבר נתניהו,"נורליק
06/03/2022",103,13815
2434,   ראש מועצת בנימין ישראל גנץ: הפגיעה הגדולה ביותר בהתיישבות היא המשך כהונת הממשלה הזו,"נורליק
06/03/2022",15,3692
2435,   קורונה בארה''ב: גל האומיקרון היה יותר קטלני עבור בני 65+ מאשר גל הדלתא,"פיניקית
06/03/2022",45,10369
2436,   סקר ציונות הדתית מי מביא יותר מנדטים,"נאקימה
06/03/2022",199,25477
2437,   תגובות חריפות במערכת הפוליטית על הכלי הדורסני החדש של 'צוות שוסטר' כנגד ההתיישבות: ''הרצחת וגם ירשת?!'',"מתיישב יהודי
06/03/2022",45,20554
2438,   אשקלון:ירי לעבר בית מגורים ללא נפגעים,"פרש טורקי
06/03/2022",6,4155
2439,   יוסי דגן: ''כולנו מחוייבים להחלפת הממשלה'',"דבש ועוקץ
06/03/2022",49,11418
2440,   הדסה הר הצופים: בני המשפחה שהתפרעו ופגעו בצוות התנצלו מול הנהלת בית החולים ואנשי המחלקה,"פורטרט
06/03/2022",41,13939
2441,"   פורעים ערבים תוקפים את כוחותינו היקרים, במספר מוקדים ביהודה ושומרון","שכוייח וכולי
06/03/2022",8,4452
2442,   צפו: נהג אוטובוס התעמת עם צוות מאבטחים בתחנה המרכזית בב''ש. המאבטחים השכיבו את הנהג ולחצו עם הברך על צווארו,"נורליק
06/03/2022",27,18407
2443,   הרמטכ''ל צפוי להודיע בשבוע הבא על החלטה עקרונית לפיה גם חטיבות החי''ר ייפתחו לבנות לוחמות,"נורליק
06/03/2022",76,14859
2444,   קולומביה: צוותי החילוץ במרחק סנטימורים מכורי פחם הלכודים מאז יום שני במכרה,"יוסריאן
06/03/2022",9,5202
2445,   ח''כ אופיר אקוניס בשאילתא לשרת התחבורה: מה הוביל את המשרד לשנות את צבעי הפרסומים של המשרד?,"פיטנגו
06/03/2022",13,8580
2446,   חדשות 12: בכירי הרבנים בציונות הדתית נגד שירות של חיילות ביחידות הקרביות של צה''ל,"יחיעם
06/03/2022",77,11741
2447,   ליברמן: ''לחצו עליי כל מיני גורמים לתת הלוואה נוספת לרשות הפלסטינית ולוותר להם על קיזוז כספי טרור - סירבתי'',"עולם קטן
06/03/2022",39,8517
2448,"   השר בר-לב על מצעד הדגלים: הבחירה הייתה קלה. דמיינו מה היה קורה לו נרתענו השנה מפני איומי חמאס, והיינו מתקפלים","מונטנה
06/03/2022",42,9618
2449,   גלי ישראל משיבים לבנט על המתקפה נגדם: אנחנו אכן כתב''ם - כלי תקשורת בלתי משוחד,"שוקית
06/03/2022",69,17977
2450,   איך הגיע סגן הרמטכ''ל לשעבר-ח''כ יאיר גולן להשתתף בהפגנה של בכירי הפלג הצפוני?,"הקול היהודי
06/03/2022",47,21392
2451,   גלובס: הפרסום של ליברמן שמשווה את שכר השוחטים לרופאים - שקרי לחלוטין,"שוקית
06/03/2022",45,17536
2452,"   אמש (בערך ב00:30) מחבלים שרפו בית יהודי באמצעות בקבוקי תבערה במעלה הזיתים, אשכול אירועי פח''ע.","אוהבחדשות
06/03/2022",16,3569
2453,   נעצר ערבי תושב בילעין שתועד מכוון נשק לכיוון ילדים במודיעין עילית,"בחזית
06/03/2022",9,7080
2454,"   סמוטריץ': ראשי המועצות שלא מתקפלים מול שלמונים פוליטיים קטנים, משקפים את עמדת ההתיישבות בצורה הכי אותנטית שיש","Goldfinger
06/03/2022",14,4987
2455,"   נהג הסעות תלה תמונה של רובה ברכבו, קלל והפחיד את הילדים. רק לאחר שההורים פנו ל'צל' הנהג פוטר","מילה
06/03/2022",17,10196
2456,   משפחות ונוער גבעות מ''גאולת ציון'' קיבלו התראה ודרישת תשלום על הריסת המאחז,"מונטנה
06/03/2022",31,6066
2457,   רוכב אופנוע (''פלסטיני'') נפצע קשה בתאונה ביו''ש - פונה במסוק מד''א לביה''ח הדסה,"הדוד מאשדוד
06/03/2022",18,4772
2458,"   אירוע חריג בגבול לבנון: במהלך פעילות ביטחונית של כוחות צה״ל במובלעת, חיילים מצבא לבנון כיוונו לעברם את הנשק","עולם קטן
06/03/2022",10,7994
2459,   ח״כ מוסי רז על ההצבעה על תקנות החירום בשבוע הבא: ״אנחנו לפעמים מצביעים נגד מצפוננו בכדי לשמר את הקואליציה'',"טנגרם
06/03/2022",26,5556
2460,   פעוט במצב קשה לאחר שנפגע מרכב חולף בירושלים,"מזרח_תיכון
06/03/2022",10,8923
2461,   תושב אלעד בשנות ה-40 לחייו נעצר בחשד שפגע מינית בקרובת משפחתו לפני כמה שנים,"גדותן
06/03/2022",8,6155
2462,   ח''כ מירי רגב שלחה תלונה ליועצת המשפטית לממשלה על האיגרת של רוה''מ בנט,"עולם קטן
06/03/2022",43,17508
2463,   רוסיה: הגדלת ההוצאות הצבאיות של גרמניה - סכנה לביטחוננו.,"Lanki
06/03/2022",27,9054
2464,   הודו: ויכוח פרץ בנושא סולוגמי - כוונתה של צעירה הודית לבוא בברית הנישואים עם עצמה,"יוסריאן
06/03/2022",29,8927
2465,   אחרי התרגיל בקפריסין: כוחות הקומנדו והצנחנים שחזרו לארץ במסדר צבאי בנמל חיפה,"יוםיום
06/03/2022",8,5242
2466,   מחקר ב''קפלן'': אין עלייה בדלקת קרום ושריר הלב במחלימי קורונה,"תשבץ
06/03/2022",37,7959
2467,   הכלכלה בטורקיה ממשיכה להתרסק: האינפלציה בחודש מאי זינקה לשיעור של 73.5% - עלייה לעומת חודש אפריל,"פורטרט
06/03/2022",20,9142
2468,   שר החוץ האיראני: המהלך המערבי נגד טהראן בסבא''א יענה ''בתגובה מיידית'' מצד איראן,"doroneli
06/03/2022",9,5380
2469,   אוקראינה: נאט''ו צריכה לשקול להעניק לנו חברות בברית ''דה-פקטו'',"Lanki
06/03/2022",10,3100
2470,"   חשבתם שעליית הריבית תוריד את מחירי הדיור, אז חשבתם","פייזר
06/03/2022",47,22751
2471,"   סער: מבחינה מעשית אי אפשר לנהל ככה קואליציה, ההתנהלות הנוכחית מאוד מסכנת את המשך קיום הממשלה","micmic
06/03/2022",69,16469
2472,   יהודי שהיה בדרכו להפגנה נגד מצעד הגאווה אתמול עוכב על ידי שוטרים ללא סיבה של ממש,"יחיעם
06/03/2022",11,3482
2473,"   חבר הקואליציה מוסי רז נגד בנט: ההשוואה בין עודה התומך בשלום ושוויון לבין בן גביר, סמוטריץ ונתניהו מקוממת","שוקית
06/03/2022",74,13078
2474,"   יום חשוב לדבורים בקליפורניה: בית המשפט שם פסק, שדבורים הם דגים","ירושלמי ציוני
06/03/2022",75,22234
2475,   בד''ה גדול מחזירי בתשובה הרב אורי זוהר איננו,"שווה--- פרסום
06/03/2022",360,43150
2476,   תושב קרית ים נעצר בחשד לתקיפת זוג קשישים,"גדותן
06/03/2022",0,0
2477,   בעלה של אלרעי פרייס נגד סדי בן שטרית: שלחת עלובים מאחורי הילדים שלי שיקללו את שרון. הם לא מפחדים ממך,"גדותן
06/03/2022",47,9764
2478,   יתד נאמן - הרב אדלשטיין מקים גוף חלופי לועדת הרבנים לענייני תקשורת,"Howlowcanugo
06/03/2022",34,17091
2479,   משרד החוץ הרוסי: נזמן את מנהלי כלי התקשורת האמריקניים במוסקווה,"Goldfinger
06/03/2022",2,2346
2480,   גדעון סער: גם אם חוק תקנות יו''ש לא יעבור - הדבר *לא* יימנע מתושבי יוש להצביע בבחירות,"שוקית
06/03/2022",29,7939
2481,   בצה״ל הוחלט שלא להעניש את המפקדים בגבעתי שמנעו מקצינה להנחות טקס השבעה בכותל,"doroneli
06/03/2022",20,7538
2482,   קשה לצפייה: תיעוד רגעי התאונה בה נפצעו 10 ילדות מאשדוד (וידאו),"הדוד מאשדוד
06/03/2022",18,22478
2483,   דרמה באוויר: 2 טייסי איירבוס 330 של אלאיטליה עם 250 נוסעים נרדמו באויר ומטוסי קרב הוזנקו,"החלילן
06/03/2022",61,25184
2484,   בריטניה: מבקשי מקלט במרכז מעצר הגירה פתחו בשביתת רעב לאחר שנאמר להם שיגורשו לרואנדה.,"פרה אדומה
06/03/2022",10,2762
2485,"   הקו של דרעי בוועדת החקירה למירון: תמכתי בהגבלות, למה אמרתי בתקשורת שהצלחתי לבטל אותם? התרברבתי בגלל שזה היה בזמן בחירות","מייקל דה סנטה
06/03/2022",78,17769
2486,   הטרור ברמלה: נערים ערבים יידו אתמול אבן על תינוק כבן חצי שנה שהיה בעגלה בשכונת עמישב. ב''ה האבן לא פגעה,"נורליק
06/03/2022",11,2256
2487,   חוק התקנות ביו''ש: במידה והחוק לא עובר עד ה 30.6- האפשרות היחידה להאריכו היא פיזור הכנסת,"בנג'ו
06/03/2022",58,19918
2488,   ''אין לי ממה לפחד'': ריאיון עם עיתונאי כוויתי שרוצה שלום עם ישראל,"Pierre
06/03/2022",0,0
2489,   פורסם התוכן המלא של תזכיר הצעת החוק החדש בענין מזונות ילדים.,"החלילן
06/03/2022",1,3692
2490,   בנט נפגש עם מנכ''ל סבא''א: ישראל שומרת את הזכות להגנה עצמית ולפעולה נגד איראן כדי לבלום את תוכניתה הגרעינית,"Lanki
06/03/2022",16,2638
2491,   עריית רמת השרון לגננות: לתלות כרזת להט'ב בגן ולצלם יחד עם הילדים | משרד החינוך: הערייה שמה סמל שלנו ללא אישור,"שוקית
06/03/2022",88,20405
2492,   מאו''ג 98 תא''ל וינטר מסיים את חודש המלחמה בברכת הגומל ופרגון מעומק הלב לפקודיו. צפו באירוע המרגש,"פתשגן
06/03/2022",48,19725
2493,   המשטרה מבקשת מאזרחים שמסתכלים מבעד לחלון ביתם על מצעד הגאווה בירושלים- להיכנס לבית ולסגור חלונות.,"אוהבחדשות
06/03/2022",69,24896
2494,"   ''נכנסנו שמחים, יצאנו מרוסקים עם רצון למות'': העדויות הקשות של משתתפים ב''חתונה ממבט ראשון''","יחיעם
06/03/2022",52,24185
2495,   נוכחות דלילה ביותר של משתתפים במצעד הגאווה בירושלים. כרגע - יותר שוטרים ממשתתפים,"בנג'ו
06/03/2022",126,27976
2496,   ''יש לי הרגשה רעה מאוד לגבי הכלכלה״: אילון מאסק עוצר גיוסי עובדים חדשים ומתכנן קיצוצים בטסלה,"דבש ועוקץ
06/03/2022",40,14234
2497,"   אחרי מכתב ראשי מועצות המתנחלים בעד אישור תקנות יו״ש, מכתב של ראשי מועצות אחרות נגד המהלך","פורטרט
06/03/2022",24,6406
2498,   קצין תועד אוזק ילדה בחברון בשל ''עדות שזרקה סכין''. צה''ל: ''ההתנהלות תיבדק''.,"Goldfinger
06/03/2022",35,6505
2499,   המשטרה עצרה תושב נתניה בחשד שהתחזה לרופא והצית משרד בקופת חולים בעיר,"Pierre
06/03/2022",2,693
2500,"   קצין במרחב איילון הורשע בהאזנת סתר לאשתו לשעבר | האישה, שוטרת לשעבר, שימשה כחפרפרת במשטרה עבור החבר העבריין","כתב פלילי
06/03/2022",36,21096
2501,"   ח''כ רוזין:''האם עריית פ''ת אישרה הקמת המאהל של ח''כ מעוז?'', מעוז:''לא נקבל מוסר מהשמאל","עבד לעם קדוש
06/03/2022",9,10731
2502,"   ורטר ב'הארץ': בסקר בחירות, למפלגות הימין באופוזיציה יש 61 מנדטים","בן פריש
06/03/2022",81,22329
2503,"   הקרב על חוקי הנשק בארה''ב:חבר קונגרס שהשתתף בדיון באופן מקוון מביתו, הביע את התנגדותו לחקיקה - תוך שליפת נשקים","doroneli
06/03/2022",4,1682
2504,   מח״ש פתחה בחקירה נגד חוקר ממשטרת ירושלים בחשד שצילם את שכנתו במספר הזדמנויות במקלחת,"עולם קטן
06/03/2022",9,4149
2505,"   מוכר רכב שהעלים מהקונה ליקויים ברכב, ישיב כמחצית מסכום הרכישה לקונה (תקדים מאז החלה האפשרות להעביר בעלות ברשת","קורנס
06/03/2022",31,19867
2506,   דוח ארגון הבריאות העולמי מזהיר: עישון סיגריות מזיק לכדור הארץ,"פיטנגו
06/03/2022",39,5139
2507,   משרד החוץ של כווית זימן לשיחה דיפלומט בכיר בשגרירות ארה''ב בעקבות ציוצים המביעים תמיכה בקהילה הגאה,"דבש ועוקץ
06/03/2022",3,436
2508,   הציונות הדתית בתגובה לבנט: שקר שחוזרים עליו אלף פעמים בעשרים עמודים לא הופך לאמת,"מייקל דה סנטה
06/03/2022",89,12500
2509,   נתין זר מסודן נעצר בחשד כי ביצע עבירות מין בקשישה בבי''ח,"גדותן
06/03/2022",31,9219
2510,   ''גורלה של שירה בנקי מחכה לכם'': איום על מארגני מצעד הגאווה בירושלים,"החדשות החמות
06/03/2022",147,16901
2511,   חי''א ערך הלילה את המטס הגדול שדימה תקיפה באיראן 100 מטוסים משורה של בסיסי חיא המריאו מערב,"האדמירל
06/03/2022",62,23786
2512,   בית המשפט הוציא צווי הרחקה כנגד עשרות אנשים בחסידות ובהם בכירים מחשש לאלימות חוזרת נגד הפורשים בחג השבועות,"אופיסר
06/03/2022",27,14699
2513,   מסתמן: נשיא ארה''ב ביידן יגיע לישראל ב-23 ביוני | יפגש עם רוה''מ בנט והנשיא הרצוג,"יוםיום
06/03/2022",23,4728
2514,"   תגובות האופוזיציה לאיגרת של בנט | הליכוד: ''שקרים, הוא העביר את השליטה במדינה לעבאס, טיבי ולחבריהם תומכי הטרור''","הדוד מאשדוד
06/03/2022",42,5266
2515,   שר התרבות חילי טרופר על איגרת רה''מ: יש מכונות רעל בתוך האופוזיציה - לא כולם,"עולם קטן
06/03/2022",44,10160
2516,   ''רוסיה כבשה עד כה 20% משטח אוקראינה'' אומר זלנסקי,"מרסו
06/03/2022",96,21499
2517,   מהפכה בתחום המזונות בישראל – שר המשפטים גדעון סער פרסם תזכיר חוק מהפכני בעניין מזונות ילדים,"Pierre
06/03/2022",25,19816
2518,   ההסתה נמשכת: אזרח השווה את התנהגותו של רה''מ לשעבר נתניהו לרוצח היטלר ואף רמז על נסיונות ההתנקשות שלא הצליחו,"Braveheart
06/03/2022",76,19230
2519,   צפו רכב בילוש פגע ברוכב אופניים ערבי חשוד - קטטה המונית פרצה במקום,"ELIRANHV
06/03/2022",23,20212
2520,"   שר החוץ ורה״מ החליפי לפיד, טס לסופ״ש ארוך בפריז. האולטימטום של גדעון סער יחכה ליום שני","micmic
06/03/2022",87,21346
2521,   למרות הרפורמה בחקלאות וביטול המכס: מחירי הפירות והירקות ממשיכים לעלות,"מונטנה
06/03/2022",51,12101
2522,"   נגיד בנק ישראל, פרופ' אמיר ירון בבלומברג: ''מעריך שהאנפלציה תשאר ברמה של 4% גם בחודשים הקרובים''","עולם קטן
06/03/2022",18,5133
2523,   2 תושבי נתיבות נעצרו בחשד שאיימו על אמו של מארגן מצעד הגאווה בעיר - שבוטל,"סקפטי
06/03/2022",37,8181
2524,   מרגש: 100 ימים למלחמה - הרב מקייב קיים את נדרו והדפיס 'תניא' בכיכר הראשית באוקראינה,"מאן דאמר
06/03/2022",4,4939
2525,   מנכ''ל בנק ההשקעות הענק JP MORGAN CHASE מזהיר את המשקיעים כי ''הוריקן'' מתרגש ובא על הכלכלה העולמית,"מרסו
06/03/2022",79,27695
2526,   עתירה לבג״צ: למה לתת לרשות הפלסטינית מתנה בשווי 500 מיליוני ש״ח?,"Brain Damage
06/03/2022",12,14460
2527,   ב-BDS צוהלים: ענקית מזון אמריקנית מוכרת אחזקות מעבר לקו הירוק,"the hawk
06/03/2022",28,20856
2528,   לפני מספר שעות הסתיים התרגיל המטכ''לי הייחודי 'מעבר לאופק' שתורגל במסגרת 'מרכבות האש',"החדשות החמות
06/03/2022",16,9422
2529,   סילמן: קיבלתי הודעת סחיטה ואיומים מהעורך והעיתונאי חגי הוברמן היום אחה״צ. לא אקבל שום החלטה על בסיס איומים,"נורליק
06/03/2022",121,25930
2530,   יפו: ערבים תקפו באלימות רבה יהודים שחגגו ל''ג בעומר | פצועים כתוצאה מנוחת בלוקים לראש על ידי הפורעים,"שוקית
06/03/2022",109,28526
2531,   הכתבת שחשפה את פתיחת יחידה 669 לנשים: יש תכנון דומה לגולני וצנחנים,"אילנד
06/03/2022",50,16714
2532,   התאבדות או נקמה? המוות המסתורי של מפקד בכוח קודס,"רוני53
06/03/2022",9,11203
2533,   תחזית מזג האוויר חם מעט מהרגיל,"בועז דיין
06/03/2022",6,3037
2534,   12 חודשי מאסר על תנאי ו-100 שעות עבודות לתועלת הציבור הוטלו על גלית צרפתי שהואשמה בחטיפת בנה,"עולם קטן
06/03/2022",8,8037
2535,"   עודד רביבי, ראש מועצת אפרת לא חתם על הקריאה לחכי''ם מאחר וישנן חלופות משפטיות","רנדומלי
06/03/2022",51,15536
2536,   המדינה מודה: העיכוב במכרז הרכבת הקלה בתל אביב - ''בגלל היבטי ביטחון לאומי,"Ben
06/03/2022",18,21687
2537,   בוסטון מנצחת במשחק הראשון בגמר ה-NBA,"Gronk
06/03/2022",7,5597
2538,   צה''ל עצר 3 חשודים שניסו לחצות מעזה לישראל עם רימונים וסכין,"מזרח_תיכון
06/03/2022",2,115
2539,   ארה''ב: דיווחים על אירוע ירי בבית קברות בעיר ראסין בוויסקונסין,"Pierre
06/03/2022",18,10939
2540,   חברת דיירקט פולס דורשת ממפלגת יש עתיד רבע מיליון שקלים כפיצוי על פרסום נתוני סקר שלטענת החברה אינם מדויקים,"דבש ועוקץ
06/03/2022",77,20730
2541,"   לאחר שנעדרה יומיים, נמצאה הקשישה זרוקה בשיחים כשהיא ללא רוח חיים. בתיעוד האחרון נראתה אוספת אוכל מהפחים.","אוהבחדשות
06/03/2022",78,26599
2542,   הסנקציות החדשות של המערב על נפט רוסי עלולים לטלטל את כל שוק האנרגיה בעולם.,"מרסו
06/03/2022",28,19554
2543,   הספורטאית הישראלית שהפסידה לטרנסג'נדרית: ''מקבלת איומים על חיי'',"YES
06/03/2022",101,29291
2544,   יו''ר הכנסת ישתתף לראשונה במצעד הגאווה בירושלים: ''מגיע להם שוויון מלא'',"נורליק
06/03/2022",107,13474
2545,   אלמוג דיין ובת זוגתה שהציגו עצמן כזוג לסבי כשרצו לנפוש בסיני עוכבו למשך שעות במצרים ולא הורשו להכנס אליה,"intelligent
06/03/2022",186,35980
2546,"   ארגון חוננו: מעל 20 עצורים ומעוכבים עקב מצעד הגאווה, חלקם רק בשל זהותם הדתית.","אוהבחדשות
06/03/2022",54,9307
2547,   עיריית מינאפוליס אישרה לראשונה בארה''ב למסגדים לשדר ברמקולים את קריאת המואזין,"פרה אדומה
06/03/2022",35,12625
2548,   בכירים בטבע נגד רפורמת התרופות: ''אנו עלולים להידרדר למצב של מדינות באפריקה'',"מונטנה
06/03/2022",21,13549
2549,"   אחרי לחץ אמריקני כבד: אופ״ק, ארגון של המדינות המייצאות נפט החליט להגביר את ייצור הנפט כדי להביא לאיזון במחירים","Lanki
06/03/2022",20,7721
2550,"   הנשיא החדש של CNN, כריס ליכט, הכריז כי רשת החדשות תצמצם משמעותית את השימוש בכותרת של Breaking News","פיטנגו
06/03/2022",3,4131
2551,   שרן השכל: ''יש ח''כים שכל שני וחמישי באים בדרישות תמורת חברותם בקואליציה - ומנסים לסחוט אותה פעם אחר פעם'',"בנג'ו
06/03/2022",27,8045
2552,   דיווח: מפקד בכוח קודס האירני מת בנסיבות מסתוריות בעיר קאראג' ביום שני האחרון,"Lanki
06/03/2022",33,19398
2553,   גורמי מודיעין בארה''ב: ''פוטין עבר טיפול לסרטן'',"intelligent
06/03/2022",47,19421
2554,   ראשי רשויות ביו''ש דורשים מכל המפלגות הציוניות בכנסת לתמוך בהארכת חוק יו''ש: ''אל תהפכו את חיינו לכאוס'',"Goldfinger
06/03/2022",126,11988
2555,   פרמדיקית צה''ל הצילה מחבל - לראשונה עם מנת דם מלא: ''לא הייתה לי דילמה'',"פורטרט
06/03/2022",247,29525
2556,   חשיפה: ילד בן 11 בגבעת שמואל שהחליט שהוא ילדה נכנס לשירותי בנות בבית הספר באישור המנהל,"חייא
06/03/2022",165,31344
2557,   לראשונה זה שמונה שנים: ישראל לא העפילה לגמר האירוויזיון,"הדוד מאשדוד
06/03/2022",150,31579
2558,   תחרות כריית מחצבים מאסטרואידים עולה מדרגה - ישראל נשארת מאחור,"Brain Damage
06/03/2022",37,16971
2559,   החלה ההצבעה על חוק עונש מוות למחבלים// עדכון: החוק נפל,"ארץ_אהבתי
06/03/2022",169,23828
2560,   הגדיים שהיו מיועדים לעלות כקורבן בפסח בהר הבית - הובאו לחוות החופש לחיים חדשים.,"יהיה_טוב
06/03/2022",73,20486
2561,   סילמן לקואליציה : החלטתי להתנגד להצעה של סער,"חדש בערך
06/03/2022",188,27787
2562,"   ''זו עבודה מיסיונרית!'' : תלמידי כיתה ז' מרחובות התבקשו ליצור דיוקן של ישו, ההורים זעמו .","Braveheart
06/03/2022",109,22542
2563,   גם הפועל ירושלים עפה ונשארה ללא כלום: הקבוצה מהבירה עם עוד קריסה ברגעי ההכרעה מפסידה לחולון שתפגוש בגמר אליפות המדינה את הרצליה,"חדש בערך
06/03/2022",65,11796
2564,   יוזמה: מחיקת רישום פלילי ליוצאי אתיופיה שלא נידונו לעונשי מאסר,"חדש על המדף
06/03/2022",49,9244
2565,   כלכליסט: המשטרה מבצעת מעקבים המוניים כדי לאתר חשוד בודד,"מונטנה
06/03/2022",42,19633
2566,   ליגת האומות מחזור 1 סיום / ישראל 2 איסלנד 2,"חדש בערך
06/03/2022",71,14372
2567,"   ד''ר שרון אלרעי-פרייס קיבלה תואר לשם כבוד מאוניברסיטת רייכמן, מתנגדי חיסונים מחו בקהל","טנגרם
06/02/2022",26,5125
2568,"   הורוביץ במצעד בירושלים: יש לנו מחוייבות גם לקהילה הגאה במגזר החרדי והערבי. הם חיים בפחד מוות, לא נפקיר אתכם","החדשות החמות
06/02/2022",21,5806
2569,"   המשטרה ביקשה להשתמש בטכנולוגיה לזיהוי פנים במצעד הגאווה, היועמ''שית סירבה","זבנג וגמרנו
06/02/2022",22,5925
2570,   ליברמן : מנסור עבאס לא נפגש עם אבו מאזן או עם אויבי ישראל | מנגד עבאס מודה שהוא שוחח איתו יותר מפעם אחת,"micmic
06/02/2022",30,6328
2571,"   אחרי הניצחון של ג'וני דפ במשפט, גרושתו אמבר הרד מתכוונת לערער / עורכת דינה: היא עברה דמוניזציה","פיטנגו
06/02/2022",9,6261
2572,   חדשות קשת ורשת קיבלו אישור להתחיל את המהדורות בשעה 19:55 החל מהערב ועד אוגוסט,"doroneli
06/02/2022",40,14193
2573,"   מחבלים יידו אבנים לעבר חיילים בנבי צלאח היום, חייל נפצע קל בפניו לא נזקק לפינוי","שכוייח וכולי
06/02/2022",0,0
2574,"   קצין המילואים שנעצר באלימות שתועדה בסרטון שהסעיר את הרשת, הגיש תלונה במח''ש נגד השוטרים","פתשגן
06/02/2022",75,21625
2575,   איומים על העוזרת האישית של מילצ'ן: ''בקרוב תמותי גם'',"Howlowcanugo
06/02/2022",33,17726
2576,   חגיגה שלא הייתה כמותה: כך בריטניה תציין ''יובל הפלטינה'' של המלכה,"פיניקית
06/02/2022",13,8475
2577,   מנכ''ל הסוכנות הבינלאומית לאנרגיה אטומית ייפגש מחר עם בנט,"דבש ועוקץ
06/02/2022",6,2328
2578,   מי דוקר את הבליינים? תעלומת דקירות המחטים באירופה,"the hawk
06/02/2022",38,21941
2579,"   עוזב את מכבי תל אביב , אנטה זיזיץ סיכם לשנתיים באנאדולו אפס.","חדש בערך
06/02/2022",41,7795
2580,   ח''כ גלית דיסטל: ''לעולם לא אקרא לחברי הכנסת הערבים תומכי טרור. תמיד נזהרתי בכבודם של חברי הכנסת הערבים'',"gold1980
06/02/2022",127,21387
2581,   שידור חי מהלווית הרב אורי זוהר ( דז'דק ) זצ''ל,"סקופילד
06/02/2022",13,12214
2582,   ''מתפתח ליכולות משמעותיות'': בכיר לשעבר בצה''ל על המטס שדימה תקיפה באיראן,"הסטוריון חובב
06/02/2022",3,1212
2583,   הקרב על תקנות יו״ש- בקואליציה אופטימיים לגבי הסיכוי לרתום את רע״ם ושוקלים מספר כיוונים לצלוח את מחסום סילמן,"נורליק
06/02/2022",47,7514
2584,   חשיפה: ח''כ יאיר גולן השתתף בהפגנה בה נאמו בכירי הפלג הצפוני של התנועה האסלאמית שיצא מחוץ לחוק,"שכוייח וכולי
06/02/2022",21,8416
2585,"   מנסור עבאס: יכולתי מזמן לפרק את הקואליציה ולצאת גיבור לאומי פלסטיני, אבל אני מנהיג אחראי","טוק דוגרי
06/02/2022",47,8240
2586,   עדכון לתקשורת בהמשך למכתב ההתראה ששוגר הבוקר מטעם חברת דיירקט פולס למפלגת יש עתיד,"Borat
06/02/2022",46,20960
2587,"   מערב רמאללה, ערבים מדווחים על מחבל שחוסל מירי כוחותינו בכפר אל-מידיה במערב רמאללה","שכוייח וכולי
06/02/2022",15,5866
2588,   המשרד להגנת הסביבה הטיל עיצומים על עיתון ''הארץ'' בסך כ-130 אלף שקל לאחר שהפר לטענת המשרד את ''חוק האריזות'',"מונטנה
06/02/2022",14,4381
2589,   עוקף חוסאן ידויי אבנים מסיבי - פצוע קל לפחות 5 רכבים ניזוקו. אשכול אירועים מתעדכן.,"אוהבחדשות
06/02/2022",9,8354
2590,"   רוכבת אופנוע כבת 35 נפגעה מרכב בתל אביב, מצבה קשה","החדשות החמות
06/02/2022",11,8929
2591,   ״אנשים רוצים להכניס אותי לכלא ״ - טבעונים שמונעים מהכלבים שלהם לאכול בשר,"תלאביביבדם
06/02/2022",84,20762
2592,   כותרת ראשית בוואלה:ראש מכינת עלי המליץ על״עזרה ראשונה״ללהט״בים:״טיפול פסיכולוגי ישיב את הנטייה למקומה,"Howlowcanugo
06/02/2022",226,19890
2593,"   סער: אין שום מו״מ| על דרישות רינאוי-זועבי- לא אאפשר את זה| סער - לא אנהל דיון תיאורטי, אני לא חושב שחזרתו טובה","בנג'ו
06/02/2022",34,12122
2594,   תוקפי האחים היהודים בעכו לפני כשלושה שבועות שוחררו למעצר בית בניגוד להמלצת המשטרה,"Ziv
06/02/2022",18,3399
2595,"   ליברמן: הרשימה המשותפת הם לא ישראלים, מנסור עבאס אומר בפה מלא ''אני חלק מהמקום הזה ואני רוצה להשתלב בחברה''","יחיעם
06/02/2022",15,3098
2596,   אחרי סוריה – האיראנים גם על גבול ירדן: הממלכה נאבקת בחדירת הטרור והסמים,"בחזית
06/02/2022",5,5087
2597,"   הוקמה אנדרטה לזכרו של יהודה במקום הרצח, צומת הכניסה לחומש, שנקראת מאז ''צומת יהודה''.","שכוייח וכולי
06/02/2022",6,2544
2598,   הלוויתו של הרב אורי זוהר זצ''ל תצא היום בשעה 16:00 מביתו ברחוב זכרון יעקב בירושלים אל בית העלמין בגבעת שאול,"שדה יער
06/02/2022",50,19575
2599,   סיעת ש''ס התחייבה שכל חבריה יצביעו בעד העלאת שכר המינימום ל-40 שקלים | ח''כ טייב: נדאג שההצעה שתעבור ברוב מוחץ,"יחיעם
06/02/2022",76,20441
2600,"   גלובס: כולם מכחישים, אבל מאחורי הקלעים נרקם מפץ פוליטי בין סער לליכוד","בוז
06/02/2022",7,1596
2601,   גבול סוריה: כוחות צה''ל עצרו חשוד שניסה לחצות לשטח ישראל באזור החרמון,"דיווח מיוחד
06/02/2022",4,1984
2602,"   האוצר נאבק לבלום את תוכנית הדיור הממשלתית שיזמו אלקין, ליברמן ושקד: ''לא שיוויונית ותוביל לעליית מחירים''","Goldfinger
06/02/2022",31,11584
2603,   ו''ר רע''מ מנסור עבאס בראיון לרדיו נאס: שוחחתי עם אבו מאזן יותר מפעם אחת לאחרונה,"גדותן
06/02/2022",16,2203
2604,   ירושלים : 2 צעירים נעצרו עם כפפות ואלות בחשד שהיו בדרך למצעד הגאווה,"ערן26
06/02/2022",20,4240
